"","Wu1_1","Wu1_2","Wu1_3","B.1.621_1","B.1.621_2","B.1.621_3","BA.2_1","BA.2_2","BA.2_3","BA.2.75_1","BA.2.75_2","BA.2.75_3","BA.2.12.1_1","BA.2.12.1_2","BA.2.12.1_3","BA.5_1","BA.5_2","BA.5_3","BQ.1.1_1","BQ.1.1_2","BQ.1.1_3","BF.7_1","BF.7_2","BF.7_3","XBB.1.5_1","XBB.1.5_2","XBB.1.5_3","HV.1_1","HV.1_2","HV.1_3","HK.3_1","HK.3_2","HK.3_3","JN.1_1","JN.1_2","JN.1_3","KP.2.3_1","KP.2.3_2","KP.2.3_3","KP.3.1.1_1","KP.3.1.1_2","KP.3.1.1_3"
"Wu1","797.039935071736","1121.57455697227","1039.48572909831","228.9095184468","171.0927319445","350.165247210744","408.360695432939","60.0021291987937","316.420331521195","126.002082429498","<40","119.740999613041","532.771467818907","1597.15722190577","67.103681449024","625.195275366771","161.465215903043","117.619180496436","147.129091321424","132.184843504304","847.617480079495","202.752585741937","94.4798039280803","81.108418970732","73.0386021156309","<40","68.2721584301235","41.1045391081192","<40","<40","80.8701325481298","42.2261688199849","<40","148.887896717501","82.7714214096181","<40","109.335194676854","<40","<40","138.673590345459","61.0829986160745","<40"
"B.1.621","361.326168232641","202.67922127173","75.239380590109","702.137749827527","2675.59539430502","566.523769955079","260.018705543443","<40","151.115133899934","<40","59.9337553611912","<40","287.087098288914","661.637643236964","80.5957988626422","1626.32272073496","168.750078613081","173.523617666132","126.516524807226","158.091145433871","465.006572559315","207.505538612644","90.2423047864659","360.284257032654","99.0452853623483","85.5333630789785","62.9430188769194","103.915952229388","<40","44.2266834339056","60.0383601552913","42.9443839771961","<40","147.685203695151","<40","57.2098795453551","43.4450112947361","<40","41.1522223443287","<40","<40","<40"
"BA.2","560.060136309979","335.163949212358","156.365175265378","183.636890047895","139.066933646874","117.44739141814","2207.69585007182","237.57887915502","2263.55890895342","350.76907236641","572.317615862752","460.304358540148","397.645024903432","545.280425673006","320.283774031804","2273.52309026576","130.922171253197","613.057579122096","84.8154454476023","285.544523668793","1912.95489852263","349.558089376936","449.24391451621","106.996907051888","99.9945171832791","83.5919798776707","461.272620912419","53.8554723330629","74.4010088430288","116.753988521843","201.044107354467","113.440574255257","51.5968192754982","738.647843065979","523.458904336783","283.268568228701","659.289276609737","424.082946386996","87.1762657292884","558.531512911767","154.46630632944","<40"
"BA.2.75","118.858803894106","151.464091959647","64.915895938111","86.1475981705635","51.513948377404","91.7662835985553","2449.0708615265","141.035570336246","671.487433374193","540.150764961813","558.241919047485","707.937258121306","264.229394562992","275.589978454675","344.404739630691","2276.2674123236","71.9089834067962","198.65468555252","<40","164.586824190324","812.945458472448","378.865396760069","228.115125767142","111.391865679864","262.436596083548","177.280027713695","187.21728760992","218.281715995007","58.3375899555736","333.065308858516","298.348532731256","101.655560743192","75.9336461088329","1623.54650648106","212.537980148436","589.009449871784","364.726970106824","196.770924653255","137.634834349875","2242.34466046571","477.576691121364","<40"
"BA.2.12.1","233.025600136068","547.53208855774","151.939726382734","411.700706799718","203.988581865992","103.326241948715","477.317672837001","293.148563875541","1024.97312625797","210.137125643924","287.329811697398","280.753709001252","740.96871598417","1022.25421013771","181.962407353498","1159.21086859481","344.179120742592","293.734945393448","132.267304919928","158.264602543174","958.375585486611","298.001401463467","247.592289268032","1177.44942993571","350.637233200768","88.9385939412849","257.840082682443","222.335074872045","42.7685550631669","<40","486.00475623351","60.0736764448595","52.4845516448372","465.212864217758","266.193123622023","149.581475839431","276.000310503095","281.793866267248","49.4870106965552","663.692910525348","112.979462505988","51.579756576613"
"BA.5","171.573834052363","181.337521228533","206.599139524481","1055.72394026698","394.630297963957","101.104963302682","989.514965093333","259.981261169227","382.927534646225","80.356523589535","171.364312639335","172.982093436315","299.518194801146","616.557610748643","81.2617000047489","2232.11039259693","344.168706222269","913.750706273383","455.452457575366","641.885636094486","1332.63407563036","1021.89171826298","176.40682223163","120.997664193499","99.4322458981219","223.21995331688","446.555859832334","214.154625452059","102.495246750777","48.3914338907021","165.858731128094","96.7494037081695","<40","422.500233978675","131.28195963984","79.0855033705391","178.831770738872","81.2978482809334","<40","682.621419475786","75.6974815173648","<40"
"BQ.1.1","120.85185456008","170.365641946494","145.429221773091","464.775003598601","224.03447309163","272.061933799944","687.965398035767","100.92460855292","319.932746156887","106.843046819209","189.245487667837","80.8058604544123","437.337461548155","207.879361383705","106.291640271699","2770.96181640368","233.521256303805","1169.4044447551","122.904413753192","499.11778691619","1867.2439862776","1454.69084933387","185.880208526921","175.230922025045","48.5695408260687","228.431750179435","329.65771667411","151.587881356974","54.4758624119621","43.5249899214719","105.72659164002","276.644056439964","119.258765750401","711.850498335162","120.038761630988","44.5215849287744","234.514046576046","<40","<40","449.477591133412","130.821142855472","<40"
"BF.7","152.382497280533","146.996680746309","71.1092897594035","220.025921531931","67.1065767099101","46.5459526714932","714.42628992636","945.240819396217","1196.7628639013","69.3226816828293","528.668510219891","278.574239126511","423.308497929954","388.230765057423","215.746505860385","2345.4236700704","417.80539801337","483.882210782255","124.144537498417","1039.78556043808","2670.72614793164","1549.69492332051","330.75583619926","109.363200453661","135.868477570908","105.880361400828","245.240997885617","224.898679504667","70.5478669674331","111.452469028113","470.759980267845","147.097446059582","148.198969704422","930.017282459604","125.780137646798","135.312815068196","193.998719329432","76.8093224088502","51.520535776382","344.750456150485","123.268742727579","49.8192130127488"
"XBB.1.5","47.4457232307796","46.5874204401856","<40","153.721501828478","47.369032204012","<40","648.130879374164","76.7349302126928","300.192269055426","185.913235364129","250.78099470999","148.385475365031","50.0492195019973","43.8819865390295","73.7947068236338","246.565870403825","133.447564535087","184.412284855231","65.9843035310632","166.501052238938","1610.67682380604","179.504897450848","366.860956102875","43.0490730053592","544.444146412958","620.16250524132","781.941025436851","768.101924056655","316.65917251863","803.642883541232","888.129540681271","498.531379220197","321.854207269708","782.267180062216","582.103052883177","128.69850146296","822.555794144694","271.763732456914","264.398742881594","2966.6861154142","519.438338219802","<40"
"HV.1","71.6276520375812","50.1476293720725","47.6066969549566","87.3472888244714","66.1031853308404","<40","297.908539392832","99.7832378151636","328.924928285415","54.5288122265064","260.976433205401","77.9557789773148","64.3021996689004","84.4163706118325","94.2356710011882","676.81830539176","160.077199830816","239.878610564437","52.0109061634824","197.453240110551","361.81899144738","90.4914039808916","308.499488352003","<40","1143.65208273126","887.795014523492","906.325380893721","199.690369466453","531.359566532033","1056.35030928552","1203.96608370877","673.032674246957","170.903034898754","1790.78005761135","127.408050397736","372.369194548895","300.383110762603","272.573848707745","377.487202435859","1476.53378364072","341.259631108898","<40"
