,Sr0,Sr1,Sr2,Sr3,Sr4,Sr5,Sr6,Sr7,Sr8,Sr9,Sr10,Sr11,Sr12,Sr13,Sr14,Sr15,Sr16,Sr17
Ag0,128,2048,2048,4096,2048,256,128,32,32,256,32,256,128,8,256,64,256,128
Ag1,32,4096,512,2048,512,64,64,16,64,512,64,512,512,32,512,32,1024,128
Ag2,128,4096,2048,4096,8192,256,64,8,64,256,16,2048,128,16,2048,256,512,256
Ag3,64,1024,2048,512,4096,64,256,32,128,128,16,128,256,8,512,64,1024,64
Ag4,64,2048,256,2048,8192,32,64,16,64,256,64,256,128,<10,128,32,128,128
Ag5,<10,64,128,64,256,4096,2048,1024,4096,<10,<10,16,<10,<10,128,<10,512,128
Ag6,16,512,128,128,512,2048,2048,256,4096,<10,<10,8,<10,32,256,64,2048,256
Ag7,<10,64,64,64,256,8192,1024,512,2048,<10,<10,8,16,<10,256,32,512,512
Ag8,8,64,128,64,256,2048,2048,256,4096,<10,<10,8,32,<10,1024,128,512,256
Ag9,<10,1024,64,128,128,<10,<10,<10,<10,16384,256,4096,8192,<10,16,<10,16,8
Ag10,<10,512,128,256,512,<10,<10,<10,<10,4096,1024,16384,4096,<10,32,<10,32,16
Ag11,<10,512,64,64,128,<10,<10,<10,<10,1024,256,2048,2048,<10,16,<10,16,<10
Ag12,<10,1024,256,256,1024,<10,<10,<10,8,4096,128,8192,2048,<10,64,16,32,8
Ag13,<10,256,256,128,64,8,<10,<10,<10,4096,512,8192,4096,<10,64,<10,64,16
Ag14,8,1024,512,128,1024,128,256,16,512,16,<10,16,8,256,2048,128,4096,2048
Ag15,16,256,512,128,128,128,512,32,256,16,<10,32,32,128,1024,512,8192,4096
Ag16,<10,512,256,512,256,512,256,32,256,8,<10,32,32,256,2048,512,8192,2048
Ag17,<10,128,256,512,512,128,1024,64,256,32,<10,32,8,128,4096,256,4096,2048
Ag18,8,1024,256,64,1024,256,128,32,256,64,<10,16,32,128,1024,256,4096,2048
Ag19,<10,128,128,32,128,128,128,64,128,16,<10,32,32,128,2048,128,2048,8192
Ag20,8,128,128,128,512,128,256,16,256,64,<10,64,64,*,*,*,*,*
Ag21,8,256,256,64,512,256,128,16,128,32,<10,128,64,*,*,*,*,*
Ag22,<10,256,64,128,1024,256,512,128,1024,<10,<10,32,64,*,*,*,*,*
Ag23,8,64,64,128,256,256,256,64,128,128,<10,64,32,*,*,*,*,*
Ag24,8,128,128,32,512,512,512,64,256,64,<10,64,64,*,*,*,*,*
Ag25,8,256,32,256,1024,128,128,8,128,32,<10,32,32,*,*,*,*,*
Ag26,8,32,64,64,512,128,256,16,256,32,<10,8,16,*,*,*,*,*
Ag27,64,256,512,512,1024,1024,256,32,512,32,<10,64,64,*,*,*,*,*
Ag28,16,32,256,32,256,1024,256,64,512,8,<10,8,8,*,*,*,*,*
Ag29,<10,128,128,16,512,256,128,32,512,32,<10,128,16,*,*,*,*,*
